1824478,1824477,45063,221
1869750,1547003,37026,216
1883873,1601581,44403,284
1926814,1639259,48015,242
1929703,1929703,47382,55
2058641,2058640,24262,26
1781756,1781756,2365,1
1824478,1575957,43816,246
1869750,1808071,47159,262
1883873,1883873,46205,259
1926814,1926813,45401,200
1929703,1929703,17015,21
2058641,2058641,985,0
1781756,1781756,17,0
1824478,1824478,42448,173
1869750,1792078,40868,231
1883873,1505322,42475,280
1926814,1926813,43863,189
1929703,1929703,16886,21
2058641,2058641,793,0
1781756,1781756,9,0
1824478,1590527,43838,239
1869750,1444300,40771,251
1883873,1379585,40606,275
1926814,1926814,52506,244
1929703,1929702,43106,51
2058641,2058641,16664,16
1781756,1781756,639,0
1824478,1824477,42778,169
1869750,1869750,37845,202
1883873,1883872,45569,241
1926814,1926813,45193,194
1929703,1929702,42374,52
2058641,2058641,5164,8
1781756,1781756,100,0
1824478,1824478,46161,225
1869750,1338571,37323,227
1883873,1550943,43861,287
1926814,1926813,51466,239
1929703,1929703,44193,50
2058641,2058641,15859,16
1781756,1781756,755,1
1824478,1824477,41341,166
1869750,1869750,15740,24
1883873,1883873,457,1
1926814,1926814,12,0
1929703,1929703,1,0
2058641,2058641,1,0
1781756,1781756,1,0
1824478,1443739,40991,243
1869750,1513799,41793,252
1883873,1440582,41795,286
1926814,1926814,52149,242
1929703,1929702,49031,66
2058641,2058640,23686,25
1781756,1781756,3136,2
1824478,1812813,47896,251
1869750,1509252,41503,254
1883873,1883873,48874,283
1926814,1926813,51740,246
1929703,1929702,44993,53
2058641,2058640,20800,18
1781756,1781756,1346,1
1824478,1252875,37930,233
1869750,1869749,43080,232
1883873,1883870,33041,158
1926814,1926814,18187,36
1929703,1929703,1199,1
2058641,2058641,60,0
1781756,1781756,4,0
1824478,1824478,46848,244
1869750,1321388,38488,245
1883873,1588111,44425,289
1926814,1617312,47997,247
1929703,1929702,47727,58
2058641,2058641,14331,16
1781756,1781756,252,0
1824478,1824478,45020,195
1869750,1809937,40723,223
1883873,1260871,38549,277
1926814,1926813,51763,238
1929703,1929700,48443,61
2058641,2058641,18846,18
1781756,1781756,714,0
1824478,1824477,47037,236
1869750,1869749,41235,213
1883873,1883872,36933,208
1926814,1926814,46417,213
1929703,1929702,44528,54
2058641,2058641,42902,47
1781756,1781755,36261,151
1824478,1824477,45009,217
1869750,1597160,40824,235
1883873,1883873,44895,236
1926814,1926813,49435,227
1929703,1929702,45370,53
2058641,2058641,16304,15
1781756,1781756,1108,1
1824478,1649362,45340,248
1869750,1844723,47379,263
1883873,1338567,39436,281
1926814,1926814,52626,245
1929703,1929703,47695,64
2058641,2058640,23387,25
1781756,1781756,921,1
1824478,1824478,45303,209
1869750,1869750,42377,229
1883873,1883872,43760,228
1926814,1926813,44943,198
1929703,1929703,45247,57
2058641,2058641,13109,16
1781756,1781756,135,0
1824478,1824476,43755,187
1869750,1378768,38781,242
1883873,1452126,41822,272
1926814,1926813,52280,241
1929703,1929700,46317,59
2058641,2058641,11412,14
1781756,1781756,355,0
1824478,1824477,41470,165
1869750,1869750,7872,8
1883873,1883873,241,0
1926814,1926814,13,0
1929703,1929703,1,0
2058641,2058641,1,0
1781756,1781756,1,0
1824478,1824478,45195,215
1869750,1463239,39179,241
1883873,1883873,46833,261
1926814,1926812,45610,209
1929703,1929703,17195,22
2058641,2058641,780,0
1781756,1781756,15,0
1824478,1824477,43620,190
1869750,1869750,30621,144
1883873,1883873,13695,24
1926814,1926814,519,0
1929703,1929703,21,0
2058641,2058641,1,0
1781756,1781756,1,0
1824478,1824477,42824,187
1869750,1869750,11505,14
1883873,1883873,594,1
1926814,1926814,7,0
1929703,1929703,1,0
2058641,2058641,1,0
1781756,1781756,1,0
1824478,1824477,42792,183
1869750,1869749,14872,22
1883873,1883873,559,1
1926814,1926814,17,0
1929703,1929703,1,0
2058641,2058641,1,0
1781756,1781756,1,0
1824478,1824477,43836,199
1869750,1869750,39938,216
1883873,1883872,38183,183
1926814,1926813,29002,91
1929703,1929703,9090,11
2058641,2058641,153,0
1781756,1781756,8,0
1824478,1824478,45054,194
1869750,1869750,42673,236
1883873,1883872,42203,210
1926814,1926814,15861,26
1929703,1929703,278,0
2058641,2058641,8,0
1781756,1781756,2,0
1824478,1397196,40435,236
1869750,1619835,43992,256
1883873,1883869,46668,259
1926814,1926813,48577,224
1929703,1929703,46034,57
2058641,2058641,7760,10
1781756,1781756,240,0
